acct_no,equip_status,count_of_latecharge,core_programming,all_star,payment_method,line_of_business,commitment,core_international,tenure,credit_score,trds_mop_equal_2_or_gt_num,tot_amt_now_past_due_amt,bill1,bill2,bill3,bill4,bill5,curr_bal,dish_restart_flag,no_of_receivers,total_devices,total_equip_charge_amt
8255909798031305,RETURNED,2,AT 120,2_Star,Standard Billing,Video Only,1, NA,531,565,                 .66,               77.50,300.17,300.17,300.17,300.17,300.17,234.7,NULL,1.0,1,300.0
8255909798030414,UNRESOLVED,1,OTHER PROGRAMMING,1_Star,Recurring Credit Card,Video Only,0, NA,80,575,                 .70,               46.00,818.53,818.53,818.53,818.53,818.53,131.16,NULL,1.0,1,300.0
8255909798031404,RETURNED,3,AT 120+,1_Star,Standard Billing,Video Only,0, NA,993,555,                1.54,               60.24,632.41,632.41,632.41,632.41,632.41,169.52,NULL,1.0,1,200.0
8255909798031933,UNRESOLVED,1,AT 250,1_Star,Standard Billing,Video Only,0, NA,308,555,                 .81,              133.74,1109.03,1109.03,1109.03,1109.03,1109.03,476.92,NULL,1.0,1,400.0
8255909798031404,UNRESOLVED,3,AT 120+,1_Star,Standard Billing,Video Only,0, NA,993,555,                1.54,               60.24,632.41,632.41,632.41,632.41,632.41,169.52,NULL,1.0,1,300.0
8255909798032071,RETURNED,2,AT 120,1_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,137,705,                 .32,               68.04,496.63,496.63,496.63,496.63,496.63,153.0,NULL,1.0,1,300.0
8255909798033038,RETURNED,3,Smart Pack,1_Star,Standard Billing,Video Only,0, NA,902,605,                 .38,                 .00,0.0,0.0,0.0,0.0,0.0,138.8,NULL,2.0,1,400.0
8255909798033962,UNRESOLVED,2,Smart Pack,1_Star,Standard Billing,Video Only,0, NA,309,555,                1.25,               67.38,728.41,728.41,728.41,728.41,728.41,43.32,NULL,2.0,1,300.0
8255909798034739,UNRESOLVED,2,AT 200,1_Star,Standard Billing,Wildblue with Video ,0, NA,178,615,                 .36,                7.96,1364.89,1364.89,1364.89,1364.89,1364.89,283.12,NULL,1.0,3,770.0
8255909798034929,UNRESOLVED,2,AT 120,2_Star,Standard Billing,Video Only,0, NA,155,0,                 .72,               79.88,874.39,874.39,874.39,874.39,874.39,113.6,NULL,2.0,1,300.0
8255909798038037,UNRESOLVED,2,AT 120,1_Star,Standard Billing,Video Only,1, NA,735,625,                1.11,               93.80,360.87,360.87,360.87,360.87,360.87,154.94,NULL,1.0,1,300.0
8255909798035488,RETURNED,2,AT 200,1_Star,Standard Billing,DSL with Video,0, NA,360,565,                1.09,               97.18,619.5,619.5,619.5,619.5,619.5,352.6,NULL,2.0,2,500.0
8255909798038771,UNRESOLVED,2,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,603,555,                2.44,              270.62,1018.53,1018.53,1018.53,1018.53,1018.53,431.97,NULL,5.0,1,400.0
8255909798038961,RETURNED,1,AT 200,2_Star,Standard Billing,Video Only,1, NA,431,545,                 .36,               78.64,415.26,415.26,415.26,415.26,415.26,233.15,NULL,3.0,2,400.0
8255909798039134,UNRESOLVED,2,AT 250,1_Star,Standard Billing,Video Only,0, NA,178,615,                 .67,              153.33,622.01,622.01,622.01,622.01,622.01,201.0,NULL,2.0,1,200.0
8255909798039399,UNRESOLVED,2,AT 120,1_Star,Standard Billing,Video Only,1, NA,767,575,                 .57,               43.12,466.54,466.54,466.54,466.54,466.54,254.74,NULL,1.0,1,300.0
8255909798042039,RETURNED,2,Latino Max,2_Star,Standard Billing,Video Only,0, NA,148,565,                1.06,             1180.94,508.84,508.84,508.84,508.84,508.84,231.0,NULL,3.0,3,600.0
8255909798043078,RETURNED,2,AT 200,2_Star,Standard Billing,Wildblue with Video ,0, CORE INTERNATIONAL,309,635,                1.22,              223.75,398.59,398.59,398.59,398.59,398.59,234.37,NULL,1.0,3,670.0
8255909798043854,UNRESOLVED,2,AT 200,1_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,937,565,                 .72,               22.65,658.5,658.5,658.5,658.5,658.5,245.98,NULL,3.0,3,600.0
8255909798043904,RETURNED,3,AT 200,1_Star,Standard Billing,Video Only,1, NA,295,575,                1.13,               64.77,617.01,617.01,617.01,617.01,617.01,398.84,NULL,2.0,1,200.0
8255909798044696,UNRESOLVED,2,AT 120+,1_Star,Standard Billing,Video Only,0, NA,574,535,                1.13,               64.77,633.33,633.33,633.33,633.33,633.33,201.4,NULL,2.0,2,500.0
8255909798045446,UNRESOLVED,1,AT 200,2_Star,Standard Billing,Video Only,0, NA,118,565,                1.16,                 .00,1041.03,1041.03,1041.03,1041.03,1041.03,256.66,NULL,3.0,1,400.0
8255909798045735,RETURNED,1,AT 120,1_Star,Standard Billing,Video Only,1, NA,391,695,                 .21,               16.86,257.55,257.55,257.55,257.55,257.55,135.7,NULL,2.0,2,500.0
8255909798045867,RETURNED,1,AT 200,1_Star,Standard Billing,Video Only,0, NA,515,615,                 .60,                 .00,245.9,245.9,245.9,245.9,245.9,209.56,NULL,1.0,1,400.0
8255909798046600,RETURNED,2,AT 120,1_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,633,655,                 .85,               16.96,0.0,0.0,0.0,0.0,0.0,166.48,NULL,1.0,1,300.0
8255909798049380,RETURNED,1,AT 250,1_Star,Standard Billing,Video Only,0, NA,198,565,                2.19,               57.43,572.46,572.46,572.46,572.46,572.46,311.68,NULL,4.0,4,700.0
8255909798048028,UNRESOLVED,2,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,1030,675,                 .76,               73.04,523.39,523.39,523.39,523.39,92.25,87.47,NULL,2.0,2,500.0
8255909798049406,UNRESOLVED,1,AT 200,2_Star,Standard Billing,Video Only,1, CORE INTERNATIONAL,369,695,                 .69,                3.24,625.22,625.22,625.22,625.22,625.22,171.46,NULL,1.0,1,300.0
8255909798049638,RETURNED,1,AT 200,3_Star,Recurring Credit Card,Video Only,0, NA,769,635,                 .17,               17.78,0.0,0.0,0.0,0.0,0.0,-0.44,NULL,2.0,2,500.0
8255909798050008,UNRESOLVED,2,AT 120,1_Star,Standard Billing,Video Only,0, NA,412,555,                 .78,              280.54,0.0,0.0,0.0,0.0,0.0,269.68,NULL,3.0,1,300.0
